ID,item_cnt_month
0,0
1,1
2,1
3,0
4,1
5,1
6,2
7,1
8,0
9,1
10,3
11,0
12,0
13,0
14,2
15,6
16,1
17,0
18,2
19,0
20,1
21,1
22,1
23,1
24,3
25,1
26,1
27,0
28,2
29,7
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,4
43,3
44,0
45,1
46,0
47,0
48,0
49,2
50,1
51,0
52,2
53,0
54,8
55,4
56,0
57,2
58,8
59,7
60,9
61,1
62,1
63,1
64,5
65,5
66,1
67,0
68,0
69,0
70,5
71,5
72,1
73,1
74,5
75,5
76,0
77,5
78,0
79,0
80,0
81,3
82,0
83,0
84,0
85,2
86,1
87,0
88,5
89,3
90,2
91,1
92,2
93,0
94,0
95,0
96,0
97,0
98,1
99,3
100,1
101,3
102,0
103,1
104,1
105,2
106,1
107,2
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,0
116,1
117,0
118,8
119,0
120,0
121,0
122,1
123,1
124,0
125,3
126,2
127,0
128,1
129,0
130,1
131,1
132,1
133,8
134,0
135,1
136,0
137,1
138,2
139,1
140,0
141,0
142,0
143,0
144,1
145,1
146,1
147,0
148,1
149,1
150,0
151,1
152,16
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,5
176,2
177,1
178,1
179,0
180,3
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,0
192,2
193,0
194,0
195,0
196,0
197,2
198,3
199,0
200,0
201,0
202,0
203,2
204,0
205,1
206,1
207,0
208,0
209,1
210,0
211,0
212,0
213,1
214,0
215,0
216,1
217,0
218,2
219,1
220,1
221,0
222,1
223,1
224,4
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,0
238,1
239,0
240,2
241,0
242,2
243,0
244,2
245,0
246,4
247,0
248,0
249,0
250,2
251,0
252,0
253,1
254,0
255,16
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,2
274,12
275,1
276,1
277,2
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,2
287,2
288,0
289,1
290,1
291,0
292,0
293,0
294,2
295,0
296,0
297,0
298,1
299,1
300,0
301,1
302,1
303,2
304,0
305,0
306,0
307,0
308,1
309,1
310,1
311,0
312,2
313,0
314,1
315,1
316,0
317,6
318,0
319,0
320,1
321,0
322,1
323,0
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,2
335,0
336,0
337,2
338,1
339,0
340,0
341,0
342,1
343,2
344,0
345,0
346,6
347,7
348,0
349,0
350,2
351,0
352,4
353,0
354,4
355,2
356,1
357,2
358,1
359,1
360,0
361,5
362,2
363,2
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,2
373,1
374,1
375,4
376,0
377,0
378,1
379,1
380,7
381,1
382,1
383,1
384,2
385,1
386,1
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,2
395,1
396,4
397,0
398,1
399,1
400,1
401,1
402,3
403,5
404,1
405,0
406,0
407,0
408,0
409,1
410,2
411,3
412,0
413,0
414,1
415,2
416,1
417,1
418,1
419,4
420,0
421,4
422,0
423,0
424,0
425,0
426,0
427,1
428,1
429,0
430,1
431,1
432,0
433,1
434,0
435,2
436,0
437,2
438,1
439,2
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,2
449,1
450,1
451,0
452,0
453,0
454,0
455,0
456,1
457,2
458,0
459,1
460,43
461,2
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,0
470,1
471,0
472,0
473,1
474,3
475,4
476,2
477,0
478,0
479,1
480,1
481,1
482,0
483,1
484,2
485,1
486,0
487,0
488,1
489,6
490,0
491,1
492,0
493,1
494,1
495,0
496,0
497,1
498,15
499,2
500,2
501,1
502,1
503,1
504,0
505,0
506,1
507,0
508,1
509,0
510,0
511,0
512,0
513,1
514,0
515,1
516,0
517,1
518,1
519,1
520,0
521,0
522,1
523,2
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,1
532,0
533,0
534,1
535,0
536,1
537,0
538,0
539,0
540,3
541,1
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,4
559,0
560,0
561,0
562,0
563,1
564,1
565,0
566,0
567,1
568,0
569,0
570,1
571,2
572,2
573,0
574,1
575,1
576,0
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,2
585,0
586,1
587,0
588,5
589,0
590,1
591,0
592,5
593,0
594,1
595,0
596,0
597,1
598,0
599,1
600,0
601,0
602,1
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,0
620,0
621,1
622,1
623,1
624,1
625,1
626,2
627,1
628,0
629,0
630,0
631,1
632,0
633,1
634,1
635,0
636,5
637,0
638,0
639,0
640,1
641,3
642,0
643,1
644,0
645,1
646,2
647,0
648,1
649,0
650,0
651,2
652,1
653,0
654,1
655,1
656,0
657,1
658,1
659,0
660,1
661,0
662,1
663,1
664,0
665,0
666,0
667,1
668,2
669,0
670,0
671,0
672,0
673,0
674,5
675,5
676,0
677,2
678,0
679,0
680,5
681,0
682,0
683,5
684,2
685,1
686,0
687,1
688,0
689,1
690,1
691,0
692,0
693,0
694,1
695,2
696,1
697,1
698,4
699,4
700,4
701,4
702,3
703,3
704,4
705,1
706,0
707,1
708,0
709,3
710,0
711,0
712,1
713,0
714,0
715,1
716,0
717,0
718,1
719,1
720,1
721,1
722,0
723,4
724,0
725,1
726,0
727,2
728,1
729,2
730,0
731,0
732,1
733,1
734,1
735,0
736,1
737,1
738,1
739,0
740,0
741,0
742,1
743,1
744,0
745,1
746,0
747,0
748,0
749,1
750,1
751,0
752,0
753,1
754,1
755,1
756,5
757,1
758,0
759,0
760,2
761,0
762,0
763,5
764,0
765,0
766,0
767,1
768,1
769,0
770,1
771,1
772,0
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,3
781,3
782,2
783,1
784,8
785,3
786,5
787,3
788,1
789,1
790,1
791,8
792,8
793,8
794,1
795,1
796,1
797,1
798,1
799,3
800,1
801,0
802,1
803,1
804,0
805,1
806,0
807,0
808,1
809,1
810,0
811,1
812,1
813,0
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,0
822,1
823,1
824,0
825,1
826,0
827,1
828,0
829,0
830,3
831,0
832,0
833,0
834,3
835,0
836,1
837,0
838,1
839,0
840,1
841,0
842,0
843,2
844,0
845,1
846,0
847,1
848,0
849,0
850,0
851,1
852,3
853,1
854,0
855,1
856,1
857,1
858,1
859,2
860,0
861,1
862,0
863,1
864,1
865,1
866,1
867,0
868,3
869,0
870,2
871,0
872,0
873,0
874,0
875,2
876,0
877,0
878,0
879,1
880,0
881,1
882,0
883,4
884,1
885,1
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,1
897,0
898,1
899,0
900,0
901,2
902,0
903,1
904,0
905,0
906,2
907,0
908,0
909,1
910,0
911,0
912,3
913,0
914,1
915,0
916,0
917,0
918,0
919,1
920,1
921,1
922,0
923,0
924,0
925,0
926,0
927,0
928,1
929,1
930,1
931,1
932,1
933,0
934,1
935,0
936,1
937,0
938,0
939,1
940,0
941,0
942,1
943,1
944,0
945,1
946,0
947,0
948,1
949,0
950,0
951,1
952,0
953,0
954,0
955,1
956,0
957,0
958,0
959,2
960,2
961,0
962,0
963,0
964,0
965,1
966,0
967,1
968,0
969,0
970,1
971,0
972,0
973,0
974,0
975,0
976,1
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,1
986,0
987,1
988,0
989,0
990,1
991,1
992,0
993,3
994,0
995,0
996,1
997,0
998,0
999,0
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,1
1012,1
1013,3
1014,1
1015,0
1016,1
1017,3
1018,0
1019,0
1020,1
1021,0
1022,0
1023,0
1024,0
1025,0
1026,1
1027,0
1028,5
1029,0
1030,0
1031,1
1032,1
1033,5
1034,1
1035,0
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,1
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
1050,3
1051,3
1052,3
1053,3
1054,1
1055,1
1056,1
1057,5
1058,1
1059,3
